trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.5, 'e': 0.4386734466479678}",30,0,-167.93816529171087,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
104,False,"{'a': 0.5, 'e': 0.43517805926635666}",20,0,-109.28175391133917,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,0,-80.40381554227022,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.4282706172126597}",20,9,20.9666825916579,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.42485812046192456}",25,7,7.854818129666454,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.42147281477591764}",20,3,-25.226131609109885,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.41811448349391933}",25,0,-55.96353966580765,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,4,4.70185924686953,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.41147788611717057}",25,0,-14.599199849733743,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.4081991952779227}",20,8,6.144439432925567,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.4049466293265049}",20,9,11.58887287820695,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.401719980097586}",25,2,-21.27361251334842,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,0,-67.28755392261452,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.3953436074260998}",25,9,-50.21915595188989,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.39219347589350495}",25,0,-87.84540258061406,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
